Title,Abstract,Authors,Aggregation_Type,Publisher,Publication_Date,Institutions,Keywords
Deep Learning Modeling Method for RF Devices Based on Uniform Noise Training Set,"As the scale and complexity of integrated circuits continue to increase, traditional modeling methods are struggling to address the nonlinear challenges in radio frequency (RF) chips. Deep learning has been increasingly applied to RF device modeling. This paper proposes a deep learning-based modeling method for RF devices using a uniform noise training set, aimed at modeling and fitting the nonlin…▽ More",Zhaokun H.; Yindong X.; Houjun W.; Jiayong Y.; Zihang G.,,,2024-12-05,,
Floquet-Bloch Valleytronics,…Conducting extreme ultraviolet photoemission circular dichroism in these nonequilibrium settings reveals the potential for controlling the orbital character of Floquet-engineeredstates. These findings link Floquetengineeringand quantum geometric light-matter coupling in two-dimensional materials. They can serve as…▽ More,Sotirios F.; Baptiste F.; Olena T.; Stéphane P.; Dominique D.; Gerd S.; Yann M.; Michael S.; Samuel B.,,,2024-12-05,,
A Physics-Informed Scenario Approach with Data Mitigation for Safety Verification of Nonlinear Systems,"This paper develops a physics-informed scenario approach for safety verification of nonlinear systems using barrier certificates (BCs) to ensure that system trajectories remain within safe regions over an infinite time horizon. Designing BCs often relies on an accurate dynamics model; however, such models are often imprecise due to the model complexity involved, particularly when dealing with high…▽ More",Ali A.; MohammadHossein A.; Amy N.; Abolfazl L.,,,2024-12-05,,
Traffic Co-Simulation Framework Empowered by Infrastructure Camera Sensing and Reinforcement Learning,"Traffic simulations are commonly used to optimize traffic flow, with reinforcement learning (RL) showing promising potential for automated traffic signal control. Multi-agent reinforcement learning (MARL) is particularly effective for learning control strategies for traffic lights in a network using iterative simulations. However, existing methods often assume perfect vehicle detection, which over…▽ More",Talha A.; Ruimin K.,,,2024-12-05,,
Deformation-Aware Segmentation Network Robust to Motion Artifacts for Brain Tissue Segmentation using Disentanglement Learning,"Motion artifacts caused by prolonged acquisition time are a significant challenge in Magnetic Resonance Imaging (MRI), hindering accurate tissue segmentation. These artifacts appear as blurred images that mimic tissue-like appearances, making segmentation difficult. This study proposes a novel deep learning framework that demonstrates superior performance in both motion correction and robust brain…▽ More",Sunyoung J.; Yoonseok C.; Mohammed; Minyoung J.; Dong-Hyun K.,,,2024-12-05,,
Learning Robust Safety Controllers for Uncertain Input-Affine Polynomial Systems,This paper offers a direct data-driven approach for learning robust control barrier certificates (R-CBCs) and robust safety controllers (R-SCs) for discrete-time input-affine polynomial systems with unknown dynamics under unknown-but-bounded disturbances. The proposed method relies on data from input-state observations collected over a finite-time horizon while satisfying a specific rank condition…▽ More,Omid A.; Abolfazl L.,,,2024-12-05,,
Integrating Various Software Artifacts for Better LLM-based Bug Localization and Program Repair,"LLMs have garnered considerable attention for their potential to streamline Automated Program Repair (APR). LLM-based approaches can either insert the correct code or directly generate patches when provided with buggy methods. However, most of LLM-based APR methods rely on a single type of software information, without fully leveraging different software artifacts. Despite this, many LLM-based app…▽ More",Qiong F.; Xiaotian M.; Jiayi S.; Ziyuan F.; Wei S.; Peng L.,,,2024-12-05,,
Certified Learning of Incremental ISS Controllers for Unknown Nonlinear Polynomial Dynamics,"Incremental input-to-state stability (delta-ISS) offers a robust framework to ensure that small input variations result in proportionally minor deviations in the state of a nonlinear system. This property is essential in practical applications where input precision cannot be guaranteed. However, analyzing delta-ISS demands detailed knowledge of system dynamics to assess the state's incremental res…▽ More",Mahdieh Z.; David A.; Abolfazl L.,,,2024-12-05,,
Dual-Branch Subpixel-Guided Network for Hyperspectral Image Classification,"Deep learning (DL) has been widely applied into hyperspectral image (HSI) classification owing to its promising feature learning and representation capabilities. However, limited by the spatial resolution of sensors, existing DL-based classification approaches mainly focus on pixel-level spectral and spatial information extraction through complex network architecture design, while ignoring the exi…▽ More",Zhu H.; Jin Y.; Lianru G.; Zhiqiang Z.; Bing Z.; Jocelyn C.,,,2024-12-05,,
Abstraction-based Control of Unknown Continuous-Space Models with Just Two Trajectories,"Finite abstractions (a.k.a. symbolic models) offer an effective scheme for approximating the complex continuous-space systems with simpler models in the discrete-space domain. A crucial aspect, however, is to establish a formal relation between the original system and its symbolic model, ensuring that a discrete controller designed for the symbolic model can be effectively implemented as a hybrid…▽ More",Behrad S.; Mahdieh Z.; Abolfazl L.,,,2024-12-05,,
Transferring self-supervised pre-trained models for SHM data anomaly detection with scarce labeled data,"Structural health monitoring (SHM) has experienced significant advancements in recent decades, accumulating massive monitoring data. Data anomalies inevitably exist in monitoring data, posing significant challenges to their effective utilization. Recently, deep learning has emerged as an efficient and effective approach for anomaly detection in bridge SHM. Despite its progress, many deep learning…▽ More",Mingyuan Z.; Xudong J.; Ye X.; Zhilu L.,,,2024-12-05,,
Learning Based MPC for Autonomous Driving Using a Low Dimensional Residual Model,"In this paper, a learning based Model Predictive Control (MPC) using a low dimensional residual model is proposed for autonomous driving. One of the critical challenge in autonomous driving is the complexity of vehicle dynamics, which impedes the formulation of accurate vehicle model. Inaccurate vehicle model can significantly impact the performance of MPC controller. To address this issue, this p…▽ More",Yaoyu L.; Chaosheng H.; Dongsheng Y.; Wenbo L.; Jun L.,,,2024-12-05,,
Versatile Optical Ground Station for Satellite-based Quantum Key Distribution in Abu Dhabi,"…the development of the Abu Dhabi Quantum Optical Ground Station (ADQOGS) for secure free-space optical communications. With the know-how of GA-Synopta's experiencedengineeringteam, we have developed a versatile multi-wavelength quantum acquisition and tracking system tailored to support various upcoming space-based QKD missions, crucial for the practic…▽ More",Sana A.; Christoph F.; Konstantin K.; Gianluca; Alessandro G.; Edgar F.; Klaus K.; James,,,2024-12-04,,
INRetouch: Context Aware Implicit Neural Representation for Photography Retouching,"Professional photo editing remains challenging, requiring extensive knowledge of imaging pipelines and significant expertise. With the ubiquity of smartphone photography, there is an increasing demand for accessible yet sophisticated image editing solutions. While recent deep learning approaches, particularly style transfer methods, have attempted to automate this process, they often struggle with…▽ More",Omar E.; Marcos; Zongwei W.; Radu T.,,,2024-12-04,,
Using Cooperative Co-evolutionary Search to Generate Metamorphic Test Cases for Autonomous Driving Systems,"Autonomous Driving Systems (ADSs) rely on Deep Neural Networks, allowing vehicles to navigate complex, open environments. However, the unpredictability of these scenarios highlights the need for rigorous system-level testing to ensure safety, a task usually performed with a simulator in the loop. Though one important goal of such testing is to detect safety violations, there are many undesirable s…▽ More",Hossein Y.; Shenghui G.; Lionel; Ali N.,,,2024-12-04,,
"Fluid Antenna Systems Enabling 6G:Principles, Applications, and Research Directions","Fluid antenna system (FAS) as a new version of reconfigurable antenna technologies promoting shape and position flexibility, has emerged as an exciting and possibly transformative technology for wireless communications systems. FAS represents any software-controlled fluidic, conductive or dielectric structure that can dynamically alter antenna's shape and position to change the gain, the radiation…▽ More",Tuo W.; Kangda Z.; Junteng Y.; Xiazhi L.; Jianchao Z.; Hong N.; Maged E.; Kai-Kit W.; Chan-Byoung C.; Zhiguo D.; George; Merouane D.; Chau Y.,,,2024-12-04,,
Confined Magnetization at the Sublattice-Matched Ruthenium Oxide Heterointerface,"…Previously, research has predominantly concentrated on the intrinsic properties of the ferromagnet SrRuO3 and recently discovered altermagnet RuO2 solely. Here, weengineeredan ultrasharp sublattice-matched heterointerface using pseudo-cubic SrRuO3 and rutile RuO2, conducting an in-depth analysis of their spin interactions. Structurally, to accommodate the…▽ More",Yiyan F.; Qinghua Z.; Ting L.; He B.; Chuanrui H.; Qiao J.; Tielong D.; Songhee C.; Shengru C.; Haitao H.; Ting C.; Qianying W.; Dongke R.; Chen L.; Chen G.; Tao Z.; Lin G.; Kuijuan J.; Jun C.; Er-Jia G.,,,2024-12-04,,
Synergizing LLMs and Knowledge Graphs: A Novel Approach to Software Repository-Related Question Answering,"…gaining insights into their development process. However, extracting insights from these repository data is time-consuming and requires technical expertise. While softwareengineeringchatbots have been developed to facilitate natural language interactions with repositories, they struggle with understanding natural language and accurately retrieving relevant…▽ More",Samuel A.; SayedHassan K.; Emad S.,,,2024-12-04,,
High-Spatial Resolution Transmission and Storage Expansion Planning for High Renewable Grids: A Case Study,"Transmission Expansion Planning (TEP) is the process of optimizing the development and upgrade of the power grid to ensure reliable, efficient, and cost-effective electricity delivery while addressing grid constraints. To support growing demand and renewable energy integration, energy storage is emerging as a pivotal asset that provides temporal flexibility and alleviates congestion. This paper pr…▽ More",Kevin W.; Rabab H.; Pascal,,,2024-12-04,,
"Prediction of polarization vortices, charge modulation, flat bands, and moiré magnetism in twisted oxide bilayers",…the high-density O-p bands and producing the spin density with moiré periodicity. These results demonstrate a broad landscape of emergent phenomena which may occur in moiré-engineeredoxide heterostructures showing far-reaching perspectives of these material systems for further fundamental studies and potential applications.▽ More,Naafis; Kartik S.; Mohamed E.; Kai H.; Chang-Beom E.; Mark; Kirill; Evgeny,,,2024-12-04,,
Safe Adaptive Cruise Control Under Perception Uncertainty: A Deep Ensemble and Conformal Tube Model Predictive Control Approach,"Autonomous driving heavily relies on perception systems to interpret the environment for decision-making. To enhance robustness in these safety critical applications, this paper considers a Deep Ensemble of Deep Neural Network regressors integrated with Conformal Prediction to predict and quantify uncertainties. In the Adaptive Cruise Control setting, the proposed method performs state and uncerta…▽ More",Xiao L.; Anouck G.; Ilya K.,,,2024-12-04,,
Speech Recognition-based Feature Extraction for Enhanced Automatic Severity Classification in Dysarthric Speech,"Due to the subjective nature of current clinical evaluation, the need for automatic severity evaluation in dysarthric speech has emerged. DNN models outperform ML models but lack user-friendly explainability. ML models offer explainable results at a feature level, but their performance is comparatively lower. Current ML models extract various features from raw waveforms to predict severity. Howeve…▽ More",Yerin C.; Jeehyun L.; Myoung-Wan K.,,,2024-12-04,,
Signatures of FloquetEngineeringin the proximal Kitaev Quantum Spin Liquid H_3LiIr_2O_6by tr-RIXS,"We present the first circularly polarized Floquetengineeringtime-resolved Resonant Inelastic X-ray Scattering (tr-RIXS) experiment in H_3LiIr_2O_6, an iridium-based Kitaev system. Our calculations and experimental results are consistent with the modification of the low energy magnetic excitations in H_3LiIr_2O_6only during illumination by the…▽ More",Jungho K.; Tae-Kyu C.; Edward M.; Liam; Jaeku P.; Sang-Youn P.; Dogeun J.; Seo; Ayman S.; Sae; Kyeong; Sang; Hyunjeong J.; Hyeonhui J.; Chanhyeon L.; Kwang-Yong C.; Faranak B.; Fazel T.; Martin C.; Alberto,,,2024-12-04,,
Diffusion in Zero-Shot Learning for Environmental Audio,"Zero-shot learning enables models to generalize to unseen classes by leveraging semantic information, bridging the gap between training and testing sets with non-overlapping classes. While much research has focused on zero-shot learning in computer vision, the application of these methods to environmental audio remains underexplored, with poor performance in existing studies. Generative methods, w…▽ More",Ysobel S.; Stephan C.; Alexandre M.,,,2024-12-04,,
Learning Networks from Wide-Sense Stationary Stochastic Processes,"Complex networked systems driven by latent inputs are common in fields like neuroscience, finance, andengineering. A key inference problem here is to learn edge connectivity from node outputs (potentials). We focus on systems governed by steady-state linear conservation laws:X_t = {L^{\ast}}Y_{t}, whereX_t, Y_t \in \mathbb{R}^pdenote inputs and poten…▽ More",Anirudh R.; Jiajun C.; Rajasekhar A.; Deepjyoti D.; Gautam D.,,,2024-12-04,,
Thermodynamic Fidelity of Generative Models for Ising System,"Machine learning has become a central technique for modeling in science andengineering, either complementing or as surrogates to physics-based models. Significant efforts have recently been devoted to models capable of predicting field quantities but the limitations of current state-of-the-art models in describing complex physics are not well understood. We…▽ More",Brian; Kat N.; Ava; Brice R.; Alejandro S.,,,2024-12-04,,
Large-Scale Dense 3D Mapping Using Submaps Derived From Orthogonal Imaging Sonars,"3D situational awareness is critical for any autonomous system. However, when operating underwater, environmental conditions often dictate the use of acoustic sensors. These acoustic sensors are plagued by high noise and a lack of 3D information in sonar imagery, motivating the use of an orthogonal pair of imaging sonars to recover 3D perceptual data. Thus far, mapping systems in this area only us…▽ More",John M.; Ivana C.; Paul S.; Brendan E.,,,2024-12-04,,
Enhancing IR-based Fault Localization using Large Language Models,"Information Retrieval-based Fault Localization (IRFL) techniques aim to identify source files containing the root causes of reported failures. While existing techniques excel in ranking source files, challenges persist in bug report analysis and query construction, leading to potential information loss. Leveraging large language models like GPT-4, this paper enhances IRFL by categorizing bug repor…▽ More",Shuai S.; Tingting Y.,,,2024-12-04,,
Electrically functionalized body surface for deep-tissue bioelectrical recording,"Directly probing deep tissue activities from body surfaces offers a noninvasive approach to monitoring essential physiological processes1-3. However, this method is technically challenged by rapid signal attenuation toward the body surface and confounding motion artifacts4-6 primarily due to excessive contact impedance and mechanical mismatch with conventional electrodes. Herein, by formulating an…▽ More",Dehui Z.; Yucheng Z.; Dong X.; Shaolei W.; Kaidong W.; Boxuan Z.; Yansong L.; Yang L.; Qingyu C.; Junyi Y.; Enbo Z.; Xun Z.; Chengzhang W.; Jun C.; Tzung; Yu H.; Xiangfeng D.,,,2024-12-04,,
Active Beam Learning for Full-Duplex Wireless Systems,"In this paper, we present a novel active beam learning method for in-band full-duplex wireless systems, that aims to design transmit and receive beams which suppress self-interference and maximize the sum spectral efficiency. Rather than rely on explicit estimation of the downlink, uplink, and/or self-interference channels like in most existing work, our method instead actively probes all three ch…▽ More",Jeong; Ian,,,2024-12-04,,
ParetoFlow: Guided Flows in Multi-Objective Optimization,"In offline multi-objective optimization (MOO), we leverage an offline dataset of designs and their associated labels to simultaneously minimize multiple objectives. This setting more closely mirrors complex real-world problems compared to single-objective optimization. Recent works mainly employ evolutionary algorithms and Bayesian optimization, with limited attention given to the generative model…▽ More",Ye Y.; Can C.; Christopher P.; Xue L.,,,2024-12-04,,
Electrocardiogram-based diagnosis of liver diseases: an externally validated and explainable machine learning approach,"Background: Liver diseases are a major global health concern, often diagnosed using resource-intensive methods. Electrocardiogram (ECG) data, widely accessible and non-invasive, offers potential as a diagnostic tool for liver diseases, leveraging the physiological connections between cardiovascular and hepatic health.
  Methods: This study applies machine learning models to ECG data for the diagno…▽ More",Juan; Wilhelm H.; Nils S.,,,2024-12-04,,
CIKAN: Constraint Informed Kolmogorov-Arnold Networks for Autonomous Spacecraft Rendezvous using Time Shift Governor,"The paper considers a Constrained-Informed Neural Network (CINN) approximation for the Time Shift Governor (TSG), which is an add-on scheme to the nominal closed-loop system used to enforce constraints by time-shifting the reference trajectory in spacecraft rendezvous applications. We incorporate Kolmogorov-Arnold Networks (KANs), an emerging architecture in the AI community, as a fundamental comp…▽ More",Taehyeun K.; Anouck G.; Ilya K.,,,2024-12-04,,
Securing RC Based P2P Networks: A Blockchain-based Access Control Framework utilizing Ethereum Smart Contracts for IoT and Web 3.0,"Ensuring security for highly dynamic peer-to-peer (P2P) networks has always been a challenge, especially for services like online transactions and smart devices. These networks experience high churn rates, making it difficult to maintain appropriate access control. Traditional systems, particularly Role-Based Access Control (RBAC), often fail to meet the needs of a P2P environment. This paper pres…▽ More",Saurav G.; Reshmi M.; Indranil R.; Bidyut G.,,,2024-12-04,,
Rectified Control Barrier Functions for High-Order Safety Constraints,This paper presents a novel approach for synthesizing control barrier functions (CBFs) from high relative degree safety constraints: Rectified CBFs (ReCBFs). We begin by discussing the limitations of existing High-Order CBF approaches and how these can be overcome by incorporating an activation function into the CBF construction. We then provide a comparative analysis of our approach with related…▽ More,Pio O.; Max; Tamas; Aaron,,,2024-12-04,,
Asymptotics of Linear Regression with Linearly Dependent Data,"In this paper we study the asymptotics of linear regression in settings where the covariates exhibit a linear dependency structure, departing from the standard assumption of independence. We model the covariates using stochastic processes with spatio-temporal covariance and analyze the performance of ridge regression in the high-dimensional proportional regime, where the number of samples and feat…▽ More",Behrad M.; Hamed H.,,,2024-12-04,,
System Test Case Design from Requirements Specifications: Insights and Challenges of Using ChatGPT,"…Language Models (LLMs) to generate test case designs from Software Requirements Specification (SRS) documents. In this study, we collected the SRS documents of five softwareengineeringprojects containing functional and non-functional requirements, which were implemented, tested, and delivered by respective developer teams. For generating test case designs,…▽ More",Shreya B.; Tarushi G.; Dhruv K.; Pankaj J.,,,2024-12-04,,
LDPC-Coded Molecular Communications with Increased Diversity,"This paper suggests achieving diversity gains while utilizing low-denisty parity check (LDPC) codes in molecular communications. Intersymbol interference (ISI) causes a significant disadvantage in error performance for molecular communications. Even though decoding LDPC codes with soft decoding yields a considerable enhancement in the bit error rate (BER) curves, this can be further improved by ut…▽ More",Alpar T.; Berk K.; Ali,,,2024-12-04,,
Designing DNNs for a trade-off between robustness and processing performance in embedded devices,Machine learning-based embedded systems employed in safety-critical applications such as aerospace and autonomous driving need to be robust against perturbations produced by soft errors. Soft errors are an increasing concern in modern digital processors since smaller transistor geometries and lower voltages give electronic devices a higher sensitivity to background radiation. The resilience of dee…▽ More,Jon G.; Koldo B.; Javier E.,,,2024-12-04,,
Performance-driven Computational Design of Multi-terminal Compositionally Graded Alloy Structures using Graphs,"…these recent advancements, demonstrating a unified performance-driven CGA design approach on a gas turbine blade with broader application to other material systems andengineeringstructures.▽ More",Marshall; Vahid A.; Brent V.; James H.; Richard M.; Raymundo A.,,,2024-12-04,,
NBM: an Open Dataset for the Acoustic Monitoring of Nocturnal Migratory Birds in Europe,"The persisting threats on migratory bird populations highlights the urgent need for effective monitoring techniques that could assist in their conservation. Among these, passive acoustic monitoring is an essential tool, particularly for nocturnal migratory species that are difficult to track otherwise. This work presents the Nocturnal Bird Migration (NBM) dataset, a collection of 13,359 annotated…▽ More",Louis A.; Adrien P.; Juliette L.,,,2024-12-04,,
Evaluating Single Event Upsets in Deep Neural Networks for Semantic Segmentation: an embedded system perspective,"As the deployment of artifical intelligence (AI) algorithms at edge devices becomes increasingly prevalent, enhancing the robustness and reliability of autonomous AI-based perception and decision systems is becoming as relevant as precision and performance, especially in applications areas considered safety-critical such as autonomous driving and aerospace. This paper delves into the robustness as…▽ More",Jon G.; Koldo B.; Javier E.,,,2024-12-04,,
DiffuPT: Class Imbalance Mitigation for Glaucoma Detection via Diffusion Based Generation and Model Pretraining,"Glaucoma is a progressive optic neuropathy characterized by structural damage to the optic nerve head and functional changes in the visual field. Detecting glaucoma early is crucial to preventing loss of eyesight. However, medical datasets often suffer from class imbalances, making detection more difficult for deep-learning algorithms. We use a generative-based framework to enhance glaucoma diagno…▽ More",Youssof N.; Nouran S.; Moustafa W.; Mohamed E.; Noha A.; Marwan T.; Ahmed E.; Islam A.,,,2024-12-04,,
Data-Driven Approach for Accelerating Selective Harmonic Elimination Algorithm in Parallel Power Converters,"Current ripple minimization is one of the challenges in parallel converters to increase the capacitor lifetime in various applications. In this paper, a deep neural network-based phase-shifting (PS) technique is proposed for parallel-connected buck converters to minimize the amplitude of a selective harmonic component and facilitate a classic optimum PS at the same time. The proposed method identi…▽ More",E. K.; S. S.; E. M.; T. D.; F. B.,,,2024-12-04,,
End-to-end Triple-domain PET Enhancement: A Hybrid Denoising-and-reconstruction Framework for Reconstructing Standard-dose PET Images from Low-dose PET Sinograms,"As a sensitive functional imaging technique, positron emission tomography (PET) plays a critical role in early disease diagnosis. However, obtaining a high-quality PET image requires injecting a sufficient dose (standard dose) of radionuclides into the body, which inevitably poses radiation hazards to patients. To mitigate radiation hazards, the reconstruction of standard-dose PET (SPET) from low-…▽ More",Caiwen J.; Mianxin L.; Kaicong S.; Dinggang S.,,,2024-12-04,,
Deep Learning in Single-Cell and Spatial Transcriptomics Data Analysis: Advances and Challenges from a Data Science Perspective,"…still limited. Fourth, the complex correlations of biological tissues make it difficult to accurately reconstruct cellular states and spatial contexts. Traditional featureengineering-based analysis methods struggle to deal with the various challenges presented by intricate biological networks. Deep learning has emerged as a powerful tool capable of handling…▽ More",Shuang G.; Shuqing S.; Huan X.; Qiang C.; Zhixiang R.,,,2024-12-04,,
BatchLLM: Optimizing Large Batched LLM Inference with Global Prefix Sharing and Throughput-oriented Token Batching,"…These tasks usually show the characteristic of prefix sharing, where different prompt input can partially show the common prefix. However, the existing LLM inferenceenginestend to optimize the streaming requests and show limitations of supporting the large batched tasks with the prefix sharing characteristic. The existing solutions use the LRU-based cache…▽ More",Zhen Z.; Xin J.; Taosong F.; Fanghao Z.; Chuanjie L.; Gang P.,,,2024-11-29,,
Human Evaluation of Procedural Knowledge Graph Extraction from Text with Large Language Models,"…to build digital tools to support those users who need to apply or execute them. In this paper, we leverage Large Language Model (LLM) capabilities and propose a promptengineeringapproach to extract steps, actions, objects, equipment and temporal information from a textual procedure, in order to populate a Procedural KG according to a pre-defined ontology.…▽ More",Valentina; Antonia A.; Ilaria B.; Mario S.; Irene C.,,,2024-11-27,,
Reinforced Symbolic Learning with Logical Constraints for Predicting Turbine Blade Fatigue Life,"Accurate prediction of turbine blade fatigue life is essential for ensuring the safety and reliability of aircraftengines. A significant challenge in this domain is uncovering the intrinsic relationship between mechanical properties and fatigue life. This paper introduces Reinforced Symbolic Learning (RSL), a method that derives predictive formulas linking…▽ More",Pei L.; Joo-Ho C.; Dingyang Z.; Shuyou Z.; Yiming Z.,,,2024-11-18,,
PerfCodeGen: Improving Performance of LLM Generated Code with Execution Feedback,"Large Language Models (LLMs) are widely adopted for assisting in software development tasks, yet their performance evaluations have narrowly focused on the functional correctness of generated code. Human programmers, however, require LLM-generated code to be not only correct but also optimally efficient. We propose PerfCodeGen, a training-free framework that enhances the performance of LLM-generat…▽ More",Yun P.; Akhilesh; Michael L.; Caiming X.; Silvio S.; Doyen S.,,,2024-11-18,,
FANAL -- Financial Activity News Alerting Language Modeling Framework,"…needing to navigate unpredictable events. This paper introduces FANAL (Financial Activity News Alerting Language Modeling Framework), a specialized BERT-based frameworkengineeredfor real-time financial event detection and analysis, categorizing news into twelve distinct financial categories. FANAL leverages silver-labeled data processed through XGBoost and…▽ More",Urjitkumar P.; Fang-Chun Y.; Chinmay G.; Hari N.,,,2024-12-04,,
Adaptive Personalized Over-the-Air Federated Learning with Reflecting Intelligent Surfaces,"Over-the-air federated learning (OTA-FL) unifies communication and model aggregation by leveraging the inherent superposition property of the wireless medium. This strategy can enable scalable and bandwidth-efficient learning via simultaneous transmission of model updates using the same frequency resources, if care is exercised to design the physical layer jointly with learning. In this paper, a f…▽ More",Jiayu M.; Aylin Y.,,,2024-12-04,,
Stagnation points at grain contacts generate an elastic flow instability in 3D porous media,"…work highlights the pivotal role of inter-grain contacts -- which are typically idealized as discrete points and therefore overlooked, but are inherent in most natural andengineeredmedia -- in shaping elastic instabilities in porous media.▽ More",Emily; Christopher; Simon; Amy; Sujit,,,2024-12-04,,
Design and Control of an Ultra-Slender Push-Pull Multisection Continuum Manipulator for In-Situ Inspection of Aeroengine,"…of aeroengines through the inspection ports have unreachable areas, and it's difficult to traverse multistage blades and inspect them simultaneously, which requiresenginedisassembly or the cooperation of multiple operators, resulting in efficiency decline and increased costs. To this end, this paper proposes a novel continuum manipulator with push-pull…▽ More",Weiheng Z.; Yuancan H.; Da H.; Nianfeng S.,,,2024-12-04,,
Galvanic Body-Coupled Powering for Wireless Implanted Neurostimulators,"Body-coupled powering (BCP) is an innovative wireless power transfer (WPT) technique, recently explored for its potential to deliver power to cutting-edge biomedical implants such as nerve and muscle stimulators. This paper demonstrates the efficient technique of designing WPT systems embedding BCP via galvanic coupling (G-BCP). The G-BCP configuration utilizes two metal circular rings surrounding…▽ More",Asif; Emma F.; Anyu J.; Adam K.; Shriya S.; Baibhab C.,,,2024-12-04,,
Multi-Momentum Observer Contact Estimation for Bipedal Robots,"As bipedal robots become more and more popular in commercial and industrial settings, the ability to control them with a high degree of reliability is critical. To that end, this paper considers how to accurately estimate which feet are currently in contact with the ground so as to avoid improper control actions that could jeopardize the stability of the robot. Additionally, modern algorithms for…▽ More",J.; Daniel; Denis G.; Aaron,,,2024-12-04,,
Understanding the Impact of Evaluation Metrics in Kinetic Models for Consensus-based Segmentation,"In this article we extend a recently introduced kinetic model for consensus-based segmentation of images. In particular, we will interpret the set of pixels of a 2D image as an interacting particle system which evolves in time in view of a consensus-type process obtained by interactions between pixels and external noise. Thanks to a kinetic formulation of the introduced model we derive the large t…▽ More",Raffaella; Horacio T.; Mattia Z.,,,2024-12-05,,
Sifting through the haystack -- efficiently finding rare animal behaviors in large-scale datasets,"In the study of animal behavior, researchers often record long continuous videos, accumulating into large-scale datasets. However, the behaviors of interest are often rare compared to routine behaviors. This incurs a heavy cost on manual annotation, forcing users to sift through many samples before finding their needles. We propose a pipeline to efficiently sample rare behaviors from large dataset…▽ More",Shir B.; Or H.; Roi H.; Shai A.,,,2024-12-04,,
From Words to Workflows: Automating Business Processes,"As businesses increasingly rely on automation to streamline operations, the limitations of Robotic Process Automation (RPA) have become apparent, particularly its dependence on expert knowledge and inability to handle complex decision-making tasks. Recent advancements in Artificial Intelligence (AI), particularly Generative AI (GenAI) and Large Language Models (LLMs), have paved the way for Intell…▽ More",Laura M.; Jessica; Taki; Walid D.; El,,,2024-12-04,,
BIMCaP: BIM-based AI-supported LiDAR-Camera Pose Refinement,"This paper introduces BIMCaP, a novel method to integrate mobile 3D sparse LiDAR data and camera measurements with pre-existing building information models (BIMs), enhancing fast and accurate indoor mapping with affordable sensors. BIMCaP refines sensor poses by leveraging a 3D BIM and employing a bundle adjustment technique to align real-world measurements with the model. Experiments using real-w…▽ More",Miguel; Anna R.; Borja; André B.,,,2024-12-04,,
Tango*: Constrained synthesis planning using chemically informed value functions,"Computer-aided synthesis planning (CASP) has made significant strides in generating retrosynthetic pathways for simple molecules in a non-constrained fashion. Recent work introduces a specialised bidirectional search algorithm with forward and retro expansion to address the starting material-constrained synthesis problem, allowing CASP systems to provide synthesis pathways from specified starting…▽ More",Daniel A.; Zlatko J.; Jeff G.; Philippe S.,,,2024-12-04,,
Automated Test-Case Generation for REST APIs Using Model Inference Search Heuristic,"The rising popularity of the microservice architectural style has led to a growing demand for automated testing approaches tailored to these systems. EvoMaster is a state-of-the-art tool that uses Evolutionary Algorithms (EAs) to automatically generate test cases for microservices' REST APIs. One limitation of these EAs is the use of unit-level search heuristics, such as branch distances, which fo…▽ More",Clinton C.; Annibale P.; Sicco V.,,,2024-12-04,,
"RedStone: Curating General, Code, Math, and QA Data for Large Language Models","…for pre-training LLMs, addressing both general-purpose language understanding and specialized domain knowledge. We introduce RedStone, an innovative and scalable pipelineengineeredto extract and process data from Common Crawl, facilitating the creation of extensive and varied pre-training datasets. Unlike traditional datasets, which often require expensive…▽ More",Yaoyao C.; Lei C.; Li D.; Shaohan H.; Yangyu H.; Yupan H.; Scarlett L.; Tengchao L.; Shuming M.; Qinzheng S.; Wenhui W.; Furu W.; Ying X.; Mao Y.; Qiufeng Y.; Xingxing Z.,,,2024-12-04,,
Enhancing Supply Chain Visibility with Generative AI: An Exploratory Case Study on Relationship Prediction in Knowledge Graphs,"A key stumbling block in effective supply chain risk management for companies and policymakers is a lack of visibility on interdependent supply network relationships. Relationship prediction, also called link prediction is an emergent area of supply chain surveillance research that aims to increase the visibility of supply chains using data-driven techniques. Existing methods have been successful…▽ More",Ge Z.; Alexandra B.,,,2024-12-04,,
DiffStyleTTS: Diffusion-based Hierarchical Prosody Modeling for Text-to-Speech with Diverse and Controllable Styles,"Human speech exhibits rich and flexible prosodic variations. To address the one-to-many mapping problem from text to prosody in a reasonable and flexible manner, we propose DiffStyleTTS, a multi-speaker acoustic model based on a conditional diffusion module and an improved classifier-free guidance, which hierarchically models speech prosodic features, and controls different prosodic styles to guid…▽ More",Jiaxuan L.; Zhaoci L.; Yajun H.; Yingying G.; Shilei Z.; Zhenhua L.,,,2024-12-04,,
Adaptive Model Predictive Control for Differential-Algebraic Systems towards a Higher Path Accuracy for Physically Coupled Robots,"The physical coupling between robots has the potential to improve the capabilities of multi-robot systems in challenging manufacturing processes. However, the path tracking accuracy of physically coupled robots is not studied adequately, especially considering the uncertain kinematic parameters, the mechanical elasticity, and the built-in controllers of off-the-shelf robots. This paper addresses t…▽ More",Xin Y.; Karl H.; Sören H.,,,2024-12-04,,
