Title,Abstract,Author,Classification_Codes,Publication_Date,Affiliations_ID,References,Keywords,File_ID
The political economy of new authoritarianism in Southeast Asia,,Einzenberger R.; Schaffar W.,,2018-01-01,60028190; 60007493; 60025988; 60004442,"Counterrevolution, the countryside and the middle classes: Lessons from five countries; Ethnic cleansing in Myanmar: The Rohingya crisis and human rights; Ein Hut, zu viele Köpfe; The rise of authoritarian neoliberalism; Asia's conservative moment: Understanding the rise of the right; Autoritärer Populismus als neoliberale Krisenbewältigungsstrategie; Editorial: Autoritärer Populismus; Innerimperiale Kämpfe; Unpacking Dutertism. What to make of Duterte's year one; Malaysia's tenth elections: Status quo, ""Reformasi"" or Islamization?; The Palingenetic core of fascist ideology; Competing populisms in post-authoritarian Indonesia; Globalization and the ""Spatial Fix""; Reluctant populists: Learning populism in Thailand; Authoritarian statism and the new right in Asia's conservative democracies; The ASEAN economic community project: Accumulating capital, dispossessing the commons; The Philippines 2017: Duterte-led authoritarian populism and its liberal-democratic roots; Der Verfall der Demokratie: Autoritärer Etatismus. Zur Aktualität von Nicos Poulantzas im Kontext der Finanz-und ""Eurokrise""; Autoritärer Etatismus. Elemente eines staats-und krisentheoretischen Konzepts von Nicos Poulantzas; Gravity centres of authoritarian rule: A conceptual approach; Totalitarian and authoritarian regimes; Contending political networks: A study of the ""Yellow Shirts"" and ""Red Shirts"" in Thailand's politics; Urbanized villagers in the 2010 Thai redshirt protests: Not just poor farmers?; Vom neuen, über den autoritären, zum progressiven Konstitutionalismus?. Pakt(e) für Wettbewerbsfähigkeit und die europäische Demokratie; Populist challenge to the establishment: Thaksin Shinawatra and the transformation of Thai politics; Southeast Asia: In the shadow of China; Die AfD, die Arbeiterklasse und die Linke-kein Problem?; How Thailand's middle class rage threatens democracy; ""Unter dem Volk populär""; New social media and politics in Thailand: The emergence of fascist vigilante groups on Facebook; Social media-based far right movements in Thailand; Democracy with Asian characteristics; Whatever happened to ""Asian Values""?; Chinese capitalism and the maritime silk road: A world-systems perspective",,201802399
Baricitinib treatment in a patient with a gain-of-function mutation in signal transducer and activator of transcription 1 (STAT1),,Meesilpavikkai K.; Dik W.; Schrijver B.; Nagtzaam N.; Posthumus-van Sluijs S.; van Hagen P.; Dalm V.,,2018-07-01,60028190; 60032114,"Heterozygous STAT1 gain-of-function mutations underlie an unexpectedly broad clinical phenotype; PD-L1 up-regulation restrains Th17 cell differentiation in STAT3 loss- and STAT1 gain-of-function patients; Gain-of-function STAT1 mutations are associated with PD-L1 overexpression and a defect in B-cell survival; A novel heterozygous mutation in the STAT1 SH2 domain causes chronic mucocutaneous candidiasis, atypically diverse infections, autoimmunity, and impaired cytokine regulation; Treatment options for chronic mucocutaneous candidiasis; Use of ruxolitinib to successfully treat chronic mucocutaneous candidiasis caused by gain-of-function signal transducer and activator of transcription 1 (STAT1) mutation; Baricitinib: first global approval; The pharmacokinetics, pharmacodynamics, and safety of baricitinib, an oral JAK 1/2 inhibitor, in healthy volunteers; Signal transduction pathways and transcriptional regulation in Th17 cell differentiation; The emerging safety profile of JAK inhibitors in rheumatic disease; PD-1 and its ligands in tolerance and immunity; A novel heterozygous mutation in the STAT1 SH2 domain causes chronic mucocutaneous candidiasis, atypically diverse infections, autoimmunity, and impaired cytokine regulation",,201801103
Locating ASEAN in East Asia's regional order,,Pongsudhirak T.,,2018-04-01,60028190; 115965407,"""The Unraveling: How to Respond to a Disordered World, """,,201801593
Ophthalmology snapshot,,Tuntivanich N.,,2018-09-01,121485591; 60028190,Management of Scleral Thinning: An alternate approach,,201800673
Transportation development and urbanization in the Bangkok Metropolitan Region,,Chalermpong S.,,2018-10-11,,"Rail Transit and Residential Land Use in Developing Countries: A Hedonic Study of Residential Property Prices in Bangkok, Thailand; Rent Capitalization of Access to Rail Transit Stations: Spatial Hedonic Models of Office Rent in Bangkok; Understanding the Factors Affecting the Urban Transportation Energy in Asian Cities: Pathways of Urban Transportation Indicators from 1995 to 2009; Bangkok Metropolitan Region's Housing Increases Past 20 Years (1990-2009); 'World Class' Living?; Thailand: Bangkok; Transportation System and Urban Planning in Bangkok (in Thai language); 'Bangkok Metropolitan Area'",,201800448
Ophthalmology snapshot,,Tuntivanich N.,,2018-03-01,,Ocular manifestations of feline herpesvirus; Feline early life ocular disease,,201801796
Does epinephrine influence post-surgical effluvium?,,Panchaprateep R.,,2018-05-08,,"My personal approach to the consultation; Surgical approach to hair loss; Follicular unit transplantation; Management of the postoperative period; Post-transplant anagen effluvium; Complications and the solutions; Diffuse hair loss (anagen effluvium); Donor site effluvium: Retrospective and prospective studies to define the incidence, onset, pattern, and associated factors; Postsurgical effluvium of preexisting hair; A protocol to prevent shock loss; Abstract: Post-op shedding: Female vs male, Theories of why? Oral Presentation; Hair transplantation without postoperative edema; Studies on graft hair survival; Recipient site anesthesia and hemostasis; Overview of anesthesia; Notes from the editor emeritus; Techniques for limiting the amount of epinephrine in large hair restoration surgeries; Medical treatments for male and female pattern hair loss; Topical 2% minoxidil with hair transplantation; The potential role of minoxidil in hair transplantation setting: Roundtable consensus meeting of the 9th annual meeting of the international society of hair restoration surgery; Tobacco related complications in HTS and its treatments; Beehner's study of FU vs 1.3 mm minigrafts after one to three sessions; graft survival, growth, and healing studies; The pitfalls of FUT incisions and how to avoid them; Mega session follicular unit transplant; Hair-styling technique to camouflage post-operative thinning in women; Notes from the editor emeritus; ""Stick and place"" technique of graft insertion",,201801397
"The new 4th edition World Health Organization classification for thyroid tumors, Asian perspectives",,Kakudo K.; Bychkov A.; Bai Y.; Li Y.; Liu Z.; Jung C.K.,,2018-12-01,60028190; 60031031; 60008510; 60032609; 60002045; 60003087; 60159841,"Mutational patterns and novel mutations of the BRAF gene in a large cohort of Korean patients with papillary thyroid carcinoma; Prevalence of BRAFV600E mutation in Asian patients with thyroid cancer; Insights into the management of papillary microcarcinoma of the thyroid; Clinical trials of active surveillance of papillary microcarcinoma of the thyroid; An observation trial without surgical treatment in patients with papillary microcarcinoma of the thyroid; A therapeutic strategy for incidentally detected papillary microcarcinoma of the thyroid; Three distinctly different kinds of papillary thyroid microcarcinoma should be recognized: Our treatment strategies and outcomes; Why there is the tendency to “overdiagnose” the follicular variant of papillary thyroid carcinoma; Revised American Thyroid Association management guidelines for patients with thyroid nodules and differentiated thyroid cancer; FNA cytopathology and molecular test characteristics in the changing landscape of papillary thyroid carcinoma; American Thyroid Association management guidelines for adult patients with thyroid nodules and differentiated thyroid cancer; The ATA Guidelines on management of thyroid nodules and differentiated thyroid cancer task force review and recommendation on the proposed renaming of eFVPTC without invasion to NIFTP; AHNS series: Do you know your guidelines? AHNS Endocrine Section Consensus Statement: State of-the-art thyroid surgical recommendations in the era of noninvasive follicular thyroid neoplasm with papillary-like nuclear features; Association of tumor size with histologic and clinical outcomes among patients with cytologically indeterminate thyroid nodules; Revisiting the guidelines issued by the Japanese Society of Thyroid Surgeons and Japan Association of Endocrine Surgeons: A gradual move towards consensus between Japanese and western practice in the management of thyroid carcinoma; How to handle borderline/precursor thyroid tumors in management of patients with thyroid nodules; Thyroid FNA cytology in Asian practice: Active surveillance for indeterminate thyroid nodules reduces overtreatment of thyroid carcinomas; Noninvasive follicular thyroid neoplasm with papillary-like nuclear features in Asian practice: Perspectives for surgical pathology and cytopathology; Italian consensus on diagnosis and treatment of differentiated thyroid cancer: Joint statements of six Italian societies; Risk-adapted management of papillary thyroid carcinoma according to our own risk group classification system: Is thyroid lobectomy the treatment of choice for low-risk patients; Pathology of endocrine tumors update: World health organization new classification 2017—other thyroid tumors; Follicular neoplasms in the 4th edition WHO classification of Endocrine organs; Papillary thyroid neoplasms in the 4th edition WHO classification of tumors of endocrine organs: Neoplasms with papillary thyroid-type nuclear features; What's new in thyroid tumor classification, the new WHO classification of endocrine organs; Guest Editorial: Two proposal regarding the terminology of thyroid tumors; Nomenclature revision for encapsulated follicular variant of papillary thyroid carcinoma. A paradigm shift to reduce overtreatment of indolent tumors; Papillary thyroid carcinoma with prominent hobnail features: A new aggressive variant of moderately differentiated papillary carcinoma. A clinicopathologic, immunohistochemical, and molecular study of eight cases; Genomic dissection of Hürthle cell carcinoma reveals a unique class of thyroid malignancy; Poorly differentiated thyroid carcinoma: The Turin proposal for the use of uniform diagnostic criteria and algorithmic diagnostic approach; Non-invasive follicular thyroid neoplasm with papillary-like nuclear features; The history of the follicular variant of papillary thyroid carcinoma; Noninvasive follicular thyroid neoplasm with papillary-like nuclear features: A review for pathologists; The evolving diagnosis of noninvasive follicular thyroid neoplasm with papillary-like nuclear features (NIFTP); Noninvasive Follicular Thyroid Neoplasm with Papillary-like Nuclear Features (NIFTP): Achieving better agreement by refining diagnostic criteria; Thyroid gland: International case conference; Observer variation of encapsulated follicular lesions of the thyroid gland; Observer variation in the diagnosis of follicular variant of papillary thyroid carcinoma; Follicular thyroid carcinoma: How have histologic diagnoses changed in the last half-century and what are the prognostic implications; Encapsulated follicular thyroid tumor with equivocal nuclear changes, so-called well-differentiated tumor of uncertain malignant potential: A morphological, immunohistochemical, and molecular appraisal; Encapsulated papillary thyroid carcinoma, follicular variant: A misnomer; Classification of thyroid follicular cell tumors: With special reference to borderline lesions; Strict criteria should be applied in the diagnosis of encapsulated follicular variant of papillary thyroid carcinoma; A pathologic re-review of follicular thyroid neoplasms: The impact of changing the threshold for the diagnosis of the follicular variant of papillary thyroid carcinoma; The relationship between the follicular variant of papillary thyroid cancer and follicular adenomas; The influence of the noninvasive follicular thyroid neoplasm with papillary-like nuclear features (NIFTP) resection diagnosis on the false-positive thyroid cytology rate relates to quality assurance thresholds and the application of NIFTP criteria; Effect of lowering the diagnostic threshold for noninvasive follicular thyroid neoplasm with papillary-like nuclear features: A single-institution experience in Korea; Final pathology findings after immediate or delayed surgery in patients with cytologically benign or follicular thyroid nodules; Tumours of uncertain malignant potential; The many appearances of papillary carcinoma of the thyroid; Follicular variant of thyroid papillary carcinoma. A clinicopathologic study of six cases; Current thyroid cancer trends in the United States; Differential clinicopathological risk and prognosis of major papillary thyroid cancer variants; Low rate of noninvasive follicular thyroid neoplasm with papillary-like nuclear features in Asian practice; Biologic and clinical perspectives on thyroid cancer; Papillary thyroid microcarcinoma: A study of 900 cases observed in a 60-year period; Papillary microcarcinoma; Papillary microcarcinoma: Is there any difference between clinically overt and occult tumors; Natural history and tumor volume kinetics of papillary thyroid cancers during active surveillance; Korea's thyroid-cancer “epidemic“-screening and overdiagnosis; A combined molecular-pathologic score improves risk stratification of thyroid papillary microcarcinoma; 'Incidental' and 'non-incidental' thyroid papillary microcarcinomas are two different entities; Comparison of clinicopathological features in incidental and nonincidental papillary thyroid carcinomas in 308 patients; Prognostic factors in papillary microcarcinoma with emphasis on histologic subtyping: A clinicopathologic study of 148 cases; Active surveillance for patients with papillary thyroid microcarcinoma: A single center's experience in Korea; Clinical outcomes after delayed thyroid surgery in patients with papillary thyroid microcarcinoma; Pathological characteristics of low-risk papillary thyroid microcarcinoma with progression during active surveillance; Renaming papillary microcarcinoma of the thyroid gland: The Porto proposal; Features predictive of distant metastasis in papillary thyroid microcarcinomas; Young age and male sex are predictors of large-volume central neck lymph node metastasis in clinical N0 papillary thyroid microcarcinomas; Lymph node metastasis from 259 papillary thyroid microcarcinomas: Frequency, pattern of occurrence and recurrence, and optimal strategy for neck dissection; Subclassification of non-solid-type papillary thyroid carcinoma identification of high-risk group in common type; Encapsulated papillary thyroid carcinoma: A clinico-pathologic study of 106 cases with emphasis on its morphologic subtypes (histologic growth pattern); Encapsulated well differentiated follicular-patterned thyroid carcinoma do not play a significant role in the fatality rate from thyroid carcinoma; Encapsulated papillary thyroid carcinoma: Is it a distinctive clinical entity with low-grade malignancy; Clinical behaviors of rare variants of papillary thyroid carcinoma are associated with survival: A population-level analysis; Follicular variant of papillary thyroid carcinoma: A clinicopathologic study of a problematic entity; Molecular genotyping of papillary thyroid carcinoma follicular variant according to its histological subtypes (encapsulated vs infiltrative) reveals distinct BRAF and RAS mutation patterns; Invasion rather than nuclear features correlates with outcome in encapsulated follicular tumors: Further evidence for the reclassification of the encapsulated papillary thyroid carcinoma follicular variant; Correlation between genetic alterations and microscopic features, clinical manifestations, and prognostic characteristics of thyroid papillary carcinomas; For the cancer genome atlas research network. Integrated genomic characterization of papillary thyroid carcinoma; RAS mutations in indeterminate thyroid nodules are predictive of the follicular variant of papillary thyroid carcinoma; Preoperative RAS mutational analysis is of great value in predicting follicular variant of papillary thyroid carcinoma; Molecular correlates and rate of lymph node metastasis of non-invasive follicular thyroid neoplasm with papillary-like nuclear features and invasive follicular variant papillary thyroid carcinoma: The impact of rigid criteria to distinguish non-invasive follicular thyroid neoplasm with papillary-like nuclear features; Noninvasive follicular thyroid neoplasm with papillary-like nuclear features accounts for more than half of “carcinomas” harboring RAS mutations; RAS-positive thyroid nodules; Preoperative detection of RAS mutation may guide extent of thyroidectomy; Heterogeneity in positive predictive value of RAS mutations in cytologically indeterminate thyroid nodules; Chapter 21: Nuclear features of papillary thyroid carcinoma (BRAF-like tumors), non-invasive follicular thyroid neoplasm with papillary-like nuclear features (RAS-like tumors) and follicular adenoma/follicular thyroid carcinoma (RAS-like tumors); Diffuse sclerosing variant of papillary thyroid carcinoma. A clinicopathologic study of 10 cases; Diffuse sclerosing variant of papillary carcinoma of the thyroid: A 35-year comparative study at a single institution; Survival of aggressive variants of papillary thyroid carcinoma in patients under 55 years old: A SEER population-based retrospective analysis; Diffuse sclerosing variant of papillary thyroid carcinoma: Clinical features and outcome; Clinicopathologic features and outcomes in patients with diffuse sclerosing variant of papillary thyroid carcinoma; Diffuse sclerosing variant of papillary thyroid carcinoma is associated with aggressive histopathological features and a poor outcome: Results of a large multicentric study; Prognostic significance of diffuse sclerosing variant papillary thyroid carcinoma: A systematic review and meta-analysis; Prognostic implications of the tall cell variant of papillary thyroid carcinoma; Tall cell variant of papillary thyroid carcinoma without extrathyroid extension: Biologic behavior and clinical implications; Prevalence and prognostic significance of poor differentiation and tall cell variant in papillary carcinoma in Japan; Tall-cell variant of papillary thyroid carcinoma: A matched-pair analysis of survival; Prognostic implications of papillary thyroid carcinoma with tall-cell features; Prognostic significance of the proportion of tall cell components in papillary thyroid carcinoma; Pathologic reporting of tall-cell variant of papillary thyroid cancer: Have we reached a consensus; Columnar-cell carcinoma. Another variant of poorly differentiated carcinoma of the thyroid; Thyroid papillary carcinoma of columnar cell type: A clinicopathologic study of 16 cases; A review of thyroid cancer with intermediate differentiation; Do aggressive variants of papillary thyroid carcinoma have worse clinical outcome than classic papillary thyroid carcinoma; Columnar cell variant of papillary thyroid carcinoma: Cytomorphological characteristics of 11 cases with histological correlation and literature review; Clinicopathological and molecular characterization of the nine cases of columnar cell variant of papillary thyroid carcinoma; CDX2 Expression in columnar cell variant of papillary thyroid carcinoma; Columnar cell variant of papillary thyroid carcinoma: A study of 10 cases with emphasis on CDX2 expression; CDX2 expression in columnar variant of papillary thyroid carcinoma; Encapsulated columnar-cell carcinoma of the thyroid: A case report; Familial adenomatous polyposis associated thyroid carcinoma: A distinct type of follicular cell neoplasm; Cribriform-morular variant of papillary carcinoma: A distinctive variant representing the sporadic counterpart of familial adenomatous polyposis-associated thyroid carcinoma; Thyroid carcinoma in patients with familial adenomatous polyposis; Cribriform-morular variant of papillary thyroid carcinoma: Clue to early detection of familial adenomatous polyposis-associated colon cancer; Age- and gender-specific risk of thyroid cancer in patients with familial adenomatous polyposis; Cribriform-morular variant of papillary thyroid carcinoma-cytological and immunocytochemical findings of 18 cases; Cribriform-morular variant of papillary thyroid carcinoma: A distinctive type of thyroid cancer; Loss of cellular polarity/cohesiveness in the invasive front of papillary thyroid carcinoma and periostin expression; Loss of cellular polarity/cohesiveness in the invasive front of papillary thyroid carcinoma, a novel predictor for lymph node metastasis; possible morphological indicator of epithelial mesenchymal transition; Cytologic, clinicopathologic, and molecular features of papillary thyroid carcinoma with prominent hobnail features: 10 case reports and systematic literature review; The micropapillary/hobnail variant of papillary thyroid carcinoma: A review of series described in the literature compared to a series from one southern Italy pathology institution; Progression of BRAF-induced thyroid cancer is associated with epithelial-mesenchymal transition requiring concomitant map kinase and TGFbeta signaling; Histomorphological factors in the risk prediction of lymph node metastasis in papillary thyroid carcinoma; Hobnail variant of papillary thyroid carcinoma: An institutional case series and molecular profile; Papillary thyroid carcinoma with hobnail features: Histopathologic criteria to predict aggressive behavior; Prevalence of a hobnail pattern in papillary, poorly differentiated, and anaplastic thyroid carcinoma: A possible manifestation of high-grade transformation; Thyroid gland papillary carcinomas with “micropapillary pattern,“ a recently recognized poor prognostic finding: Clinicopathologic and survival analysis of 7 cases; Differentiation, proliferation and retinoid receptor status of papillary carcinoma of the thyroid; Papillary carcinoma of the thyroid in Japan: Subclassification of common type and identification of low risk group; Non-solid type thyroid carcinoma: A case report of moderately differentiated adenocarcinoma of the thyroid; Somatic mutation profiling of hobnail variant of papillary thyroid carcinoma; Hobnail variant of papillary thyroid carcinoma: Molecular profiling and comparison to classical papillary thyroid carcinoma, poorly differentiated thyroid carcinoma and anaplastic thyroid carcinoma; High prevalence of RET/PTC rearrangements in Ukrainian and Belarussian post-Chernobyl thyroid papillary carcinomas: A strong correlation between RET/PTC3 and the solid-follicular variant; Thyroid carcinoma in children and adolescents in Ukraine after the Chernobyl nuclear accident: Statistical data and clinicomorphologic characteristics; Thyroid carcinoma after Chernobyl latent period, morphology and aggressiveness; Morphologic characteristics of Chernobyl-related childhood papillary thyroid carcinomas are independent of radiation exposure but vary with iodine intake; Morphological difference in adult thyroid papillary carcinoma between Japan and Ukraine; Solid variant of papillary thyroid carcinoma: Incidence, clinical-pathologic characteristics, molecular analysis, and biologic behavior; Hürthle cell (oxyphilic) papillary thyroid carcinoma: A variant with more aggressive biologic behavior; Implications of oncocytic change in papillary thyroid cancer; Prevalence and biological behaviour of variants of papillary thyroid carcinoma: Experience at a single institute; Prognosis and prognostic factors of follicular carcinoma in Japan: Importance of postoperative pathological examination; Management of follicular thyroid carcinoma should be individualized based on degree of capsular and vascular invasion; The clinicopathological significance of histologic vascular invasion in differentiated thyroid carcinoma; Extensive vascular invasion is a marker of risk of relapse in encapsulated non-Hurthle cell follicular carcinoma of the thyroid gland: A clinicopathological study of 18 consecutive cases from a single institution with a 11-year median follow-up; Outcomes and prognostic factors of 251 patients with minimally invasive follicular thyroid carcinoma; Prognostic factors of minimally invasive follicular thyroid carcinoma: Extensive vascular invasion significantly affects patient prognosis; Association of vascular invasion with increased mortality in patients with minimally invasive follicular thyroid carcinoma but not widely invasive follicular thyroid carcinoma; Prognostic impact of extent of vascular invasion in low-grade encapsulated follicular cell derived thyroid carcinomas: A clinicopathologic study of 276 cases; Vascular invasion is an independent prognostic factor for distant recurrence-free survival in papillary thyroid carcinoma: A matched-case comparative study; Prognostic impact of vascular invasion in differentiated thyroid carcinoma: A systematic review and meta-analysis; Follicular thyroid carcinoma; Pathological definition and clinical significance of vascular invasion in thyroid carcinomas of follicular epithelial derivation; Pathologic features, proliferative activity, and cyclin D1 expression in Hurthle cell neoplasms of the thyroid; Hürthle cell lesions of the thyroid gland; Total thyroidectomy for Hürthle cell neoplasm of the thyroid; Hürthle cell tumors: A twenty-five-year experience; Hürthle cell carcinoma; Does Hürthle cell carcinoma of the thyroid have a poorer prognosis than ordinary follicular thyroid carcinoma; Follicular and Hurthle cell carcinoma of the thyroid in iodine-sufficient area: Retrospective analysis of Korean multicenter data; Radioactive iodine treatment is associated with improved survival for patients with Hürthle cell carcinoma; Insular and anaplastic carcinoma of the thyroid: A 45-year comparative study at a single institution and a review of the significance of p53 and p21; Poorly differentiated follicular thyroid carcinoma: Prognostic factors and relevance of histological classification; Insular thyroid cancer: A population-level analysis of patient characteristics and predictors of survival; Predictive factors of outcome in poorly differentiated thyroid carcinomas; Clinicopathological significance of poorly differentiated thyroid carcinoma; Poorly differentiated thyroid carcinomas: How much poorly differentiated is needed; Re-evaluation of histopathological factors affecting prognosis of differentiated thyroid carcinoma in an iodine-sufficient country; Poorly differentiated carcinoma of the thyroid. A clinicopathologic entity for a high-risk group of papillary and follicular carcinomas; Poorly differentiated thyroid carcinoma defined on the basis of mitosis and necrosis: A clinicopathologic study of 58 patients; Poorly differentiated thyroid carcinomas: Application of the Turin proposal provides prognostic results similar to those from the assessment of high-grade features; Prognostic classification of thyroid follicular cell tumors using Ki-67 labeling index: How to report high-risk thyroid carcinomas; Histopathological analysis of anaplastic thyroid carcinoma cases with long-term survival: A report from the anaplastic thyroid carcinoma research consortium of Japan; Growth activity in hyperplastic and neoplastic human thyroid determined by an immunohistochemical staining procedure using monoclonal antibody MIB-1; Expression of p27kip1 and Ki-67 in benign and malignant thyroid tumors; Downregulation of p27KIP1 and Ki67/Mib1 labeling index support the classification of thyroid carcinoma into prognostically relevant categories; Prognostic significance of ki-67 labeling index in papillary thyroid carcinoma; Ki-67 labeling index is a predictor of postoperative persistent disease and cancer growth and a prognostic indicator in papillary thyroid carcinoma; Prognostic impact of Ki-67 labeling index in minimally invasive follicular thyroid carcinoma; How to confirm or deny high-risk thyroid carcinoma is a challenge for pathologists; Anaplastic thyroid carcinomas incidentally found on postoperative pathological examination; Time trend in tumour size and characteristics of anaplastic thyroid carcinoma; Changes of clinicopathologic characteristics and survival outcomes of anaplastic and poorly differentiated thyroid carcinoma; Genomic and transcriptomic hallmarks of poorly differentiated and anaplastic thyroid cancers; Clinical utility of RAS mutations in thyroid cancer: A blurred picture now emerging clearer; Prevalence and phenotypic correlations of EIF1AX mutations in thyroid nodules; Does noninvasive follicular thyroid neoplasm with papillary-like nuclear features (NIFTP) have a unique molecular profile; Integrated genomic analysis of Hürthle cell cancer reveals oncogenic drivers, recurrent mitochondrial mutations, and unique chromosomal landscapes; Genomic and transcriptomic hallmarks of poorly differentiated and anaplastic thyroid cancers; Recurrent EZH1 mutations are a second hit in autonomous thyroid adenomas; Clinical utility of EZH1 mutations in the diagnosis of follicular-patterned thyroid tumors; Widespread chromosomal losses and mitochondrial DNA alterations as genetic drivers in Hürthle cell carcinoma; Molecular profiling of papillary thyroid carcinoma in Korea with a high prevalence of BRAFV600E mutation; The increase thyroid cancer incidence during the last four decades is accompanied by a high frequency of BRAF mutations and a sharp increase in RAS mutations; Neoplasms of the neuroendocrine pancreas; Pathological grading for predicting metastasis in phaeochromocytoma and paraganglioma; Relationship of biochemically persistent disease and thyroglobulin-doubling time to age at surgery in patients with papillary thyroid carcinoma; Crucial parameters in thyroid carcinoma reporting: Challenges, controversies, and clinical implications; Encapsulated anaplastic thyroid carcinoma without invasive phenotype with favorable prognosis: Report of a case; Noninvasive anaplastic thyroid carcinoma: Report of a case and literature review; Encapsulated thyroid tumors of follicular cell origin with high grade features (high mitotic rate/tumor necrosis): A clinicopathologic and molecular study; Papillary thyroid carcinoma tall cell variant; Classification of follicular cell tumors of the thyroid gland: Analysis involving Japanese patients from one institute; Tall cell variant of papillary thyroid carcinoma: How many tall cells are needed; Tall cell papillary thyroid carcinoma: New diagnostic criteria and mutations in BRAF and TERT; Pathologic reporting of tall-cell variant of papillary thyroid cancer: Have we reached a consensus; The differentiation of atypical adenomas and encapsulated follicular carcinomas in the thyroid gland; Follicular neoplasms of the thyroid. Total circumferential evaluation of the fibrous capsule; Metastatic follicular thyroid carcinoma and the primary thyroid gross examination: Institutional review of cases from1990 to 2015; Metastatic thyroid carcinoma without identifiable primary tumor within the thyroid gland: A retrospective study of a rare phenomenon; The total number of tissue blocks per centimetre of tumor significantly correlated with the risk of distant metastasis in patients with minimally invasive follicular thyroid carcinoma; Prognostic impact of extent of vascular invasion in low-grade encapsulated follicular cell-derived thyroid carcinomas: A clinicopathologic study of 276 cases; Invasion of blood vessels in thyroid cancer",,201800133
The coexistence of Cushing syndrome and gynecomastia as the manifestations of adrenocortical carcinoma,,Umphonsathien M.; Srichomkwun P.; Buranasupkajorn P.; Snabboon T.,,2018-12-01,60028190; 60022183; 60023217,"Gynaecomastia-pathophysiology, diagnosis and treatment; Feminizing adrenal neoplasms: case presentations and review of the literature; Adrenocortical carcinoma; Feminizing adrenocortical carcinoma with distinct histopathological findings; Update in adrenocortical carcinoma",,201800134
The Constitutional Court of Thailand: From Activism to Arbitrariness,,Tonsakulrungruang K.,,2018-01-01,60028190; 60020650,"Toppling democracy; Constitutional afterlife: The continuing impact of Thailand’s postpolitical constitution; The tragedy of the 1997 constitution; The battle for rule of law in Thailand: The Constitutional Court of Thailand; Thaksin Shinawatra and the reshaping of Thai politics; Human rights in the era of “Thailand Inc; Judicialization of politics or politicization of the judiciary? Considerations from recent events in Thailand; Network monarchy and legitimacy crises in Thailand; Deconstructing the 2007 constitution; What are the five leaked videos about?; Judges in the dock; New leaked video dishes yet another scandal at Thailand’s Constitution Court; Emergency powers with a moustache: Special powers, military rule and evolving constitutionalism in Thailand; Coups and constitutions; The constitutional court in the 2016 constitutional draft: A substitute king for Thailand in the post-Bhumibol era?; Questions loom over new prime minister’s legitimacy; Thailand: How the meaning of “and” starts a constitutional crisis; Political family in MP election 2011; NLA rejects impeachment bid; Thailand opposition Democrat Party to boycott election; Like two countries; Out of luck; Why developing countries prove so resistant to the rule-of-law",,201802207
Oral lichen planus: Challenge and management,,Thongprasom K.,,2018-03-01,,Side effects of anti-TNF therapy: Current knowledge; Adverse oral reactions associated with the COX-2 inhibitor Rofecoxib; Oral lichen planus: A review; Oral lichen planus: Controversies surrounding malignant transformation; Current controversies in oral lichen planus; report of an international consensus meeting—Part 1. Viral infections and aetiopathogenesis; Current controversies in oral lichen planus; report of an international consensus meeting—Part 2. Management and malignant transformation; Squamous cell carcinoma in a patient with oral lichen planus treated with topical application of tacrolimus; Proliferative lupus nephritis and leukocytoclastic vasculitis during treatment with etanercept; The onset risk of carcinoma in patients continuing tacrolimus topical treatment for oral lichen planus: A case report; Squamous cell carcinoma arising in plaque-like oral lichen planus: A case report; Update on oral lichen planus: Etiopathogenesis and management; Interventions for treating oral lichen planus; Review of steroids in the treatment of oral lichen planus; Expression of TNF-α in oral lichen planus treated with fluocinolone acetonide 0.1%; Clinical evaluation in treatment of oral lichen planus with topical fluocinolone acetonide: A 2-year follow-up; Novel therapies for oral lichen planus; Correlation of serum ANA and direct immunofluorescence studies in elderly Thai patients with red and white oral lesions; Nomenclature and classification of potentially malignant disorders of the oral mucosa; Expression of IFN-γ before and after treatment of oral lichen planus with 0.1% fluocinolone acetonide in orabase,,201801827
Emerging roles of the protease allergen Der p 1 in house dust mite–induced airway inflammation,,Chevigné A.; Jacquet A.,,2018-08-01,60028190; 60072560,"Purification and characterization of the major allergen from Dermatophagoides pteronyssinus-antigen P1; Sequence analysis of cDNA coding for a major house dust mite allergen, Der p 1. Homology with cysteine proteases; Orchestration of an uncommon maturation cascade of the house dust mite protease allergen quartet; The role of innate immunity activation in house dust mite allergy; Innate and adaptive type 2 immunity in lung allergic inflammation; Environmental allergens induce allergic inflammation through proteolytic maturation of IL-33; The house dust mite allergen Der p 1, unlike Der p 3, stimulates the expression of interleukin-8 in human airway epithelial cells via a proteinase-activated receptor-2-independent mechanism; Innate generation of thrombin and intracellular oxidants in airway epithelium by allergen Der p 1; Allergenic proteases cleave the chemokine CX3CL1 directly from the surface of airway epithelium and augment the effect of rhinovirus; Profiling the extended cleavage specificity of the house dust mite protease allergens Der p 1, Der p 3 and Der p 6 for the prediction of new cell surface protein substrates",airway epithelium; allergen; Der p 1; House dust mite; innate immune pathways; protease activity,201800906
Calcium sign of thoracic aortic dissection in Takayasu's arteritis,,Lertsuwunseri V.; Chattranukulchai P.; Tumkosit M.; Boonyaratavej S.,,2018-01-01,60028190,,Radiology; vasculitis,201802639
